id_discente,sexo,semestre_letivo,media_final,numero_faltas,cod_disciplina,disciplina,ch_total,descricao
"280,303",M,20161,0.3,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"275,234",M,20152,3,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"192,118",M,20151,6.6,0,"7,036",CALCULO DIF  E INTEGRAL III,60,APROVADO
"190,431",F,20141,7,0,"4,250",CALCULO VET GEO ANALITICA,60,APROVADO
"125,263",M,20132,7.9,0,"3,809",ENGENHARIA DE SOFTWARE,60,APROVADO
"171,376",M,20141,null,0,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,TRANCADO
"174,721",M,20121,7.43,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"119,826",M,20102,6.7,0,"1,661",CIRCUITOS LOGICOS,90,APROVADO
"279,980",M,20162,null,0,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,MATRICULADO
"149,639",M,20161,8.7,0,"4,555",CALCULO NUMERICO,60,APROVADO
"279,259",M,20162,null,null,954,ADM DE EMPRESAS,75,MATRICULADO
"132,335",M,20152,7,0,"2,725",TRABALHO INDIVIDUAL EM BANCO DE DADOS,60,APROVADO
"176,986",M,20121,5.1,0,"3,817",INTRODUCAO A PROGRAMACAO,60,APROVADO
"171,508",M,20131,null,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,TRANCADO
"149,639",M,20111,7.8,0,"4,250",CALCULO VET GEO ANALITICA,60,DISPENSADO
"147,205",M,20111,7,0,980,INTRODUCAO ORG E METODOS,60,DISPENSADO
"279,904",M,20162,null,0,"21,873",MATERIAIS PARA MICRO E NANO TECNOLOGIA,60,MATRICULADO
"259,219",M,20162,null,0,"2,689",INTRODUCAO A INTELIGENCIA ARTIFICIAL,60,MATRICULADO
"107,366",M,20072,7,0,"4,247",CALCULO DIFERENCIAL E INTEGRAL II,90,APROVADO
"187,063",M,20152,8.3,0,"3,504",ARQUITETURA DE COMPUTADORES I,60,APROVADO
"185,803",F,20132,8,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"170,035",M,20132,7.8,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,APROVADO
"107,137",M,20082,3.5,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REPROVADO
"170,367",F,20152,8,0,"2,726",TRABALHO INDIV EM ARQ DE COMPUTADORES,60,APROVADO
"183,243",M,20132,9.6,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"171,496",M,20151,null,0,"18,968",SOFTWARE PARA SISTEMAS EMBARCADOS,60,TRANCADO
"250,063",M,20132,7.9,0,"3,817",INTRODUCAO A PROGRAMACAO,60,APROVADO
"268,797",M,20152,7.2,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,APROVADO
"185,360",M,20161,5,0,"2,737",TRABALHO INDIV EM SISTEMAS MULTIMIDIA,60,APROVADO
"269,802",M,20161,null,null,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,INDEFERIDO
"186,436",M,20131,1.6,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REPROVADO
"265,762",M,20142,7.08,0,"4,250",CALCULO VET GEO ANALITICA,60,DISPENSADO
"119,273",M,20091,9.1,0,"4,372",LINGUA INGLESA I,75,APROVADO
"176,220",M,20121,1,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REPROVADO
"276,614",M,20161,0.2,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"270,372",M,20162,null,2,"21,884",INTRODUÇÃO A PROGRAMAÇÃO PARA ENGENHARIA DE COMPUTAÇÃO,60,MATRICULADO
"119,207",M,20111,8.85,0,"2,689",INTRODUCAO A INTELIGENCIA ARTIFICIAL,60,APROVADO
"149,398",M,20161,5.6,0,995,SISTEMA DE INFORMACAO E DECISAO,60,APROVADO
"185,360",M,20142,8.7,0,"3,851",TOPICOS ESPEC EM COMPUTACAO,60,APROVADO
"130,950",M,20101,7.2,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"129,052",F,20132,7.7,0,"3,518",CONSTRUCAO DE COMPILADORES I,60,APROVADO
"174,258",M,20132,0,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REP. FALTA
"174,580",M,20121,7.1,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,APROVADO
"149,644",M,20131,null,0,"1,656",ANALISE E PROJETO DE ALGORITMOS,60,TRANCADO
"171,513",M,20132,3.8,0,"1,665",ESTRUTURA DE DADOS,60,REPROVADO
"114,212",M,20101,6.9,0,"3,851",TOPICOS ESPEC EM COMPUTACAO,60,APROVADO
"275,358",M,20162,null,null,"1,665",ESTRUTURA DE DADOS,60,MATRICULADO
"185,360",M,20141,3.5,0,"1,665",ESTRUTURA DE DADOS,60,REPROVADO
"274,428",M,20161,7.4,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"271,753",M,20161,7.1,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,APROVADO
"178,162",M,20162,null,null,302,ADM DE MARKETING I,60,INDEFERIDO
"178,238",M,20122,0,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REP. FALTA
"268,833",M,20152,null,null,"2,698",LOGICA APLICADA A COMPUTACAO,60,TRANCADO
"184,773",M,20132,8,0,"3,516",COMPUTADORES E SOCIEDADE,30,APROVADO
"155,168",F,20122,8.5,0,"1,641",SERIES E EQUACOES DIF ORDINARIAS,60,APROVADO
"189,786",M,20161,9,0,"3,516",COMPUTADORES E SOCIEDADE,30,APROVADO
"258,647",M,20161,8.2,1,"1,663",ESPECIFICACAO DE REQUISITOS DE SOFTWARE,60,APROVADO
"148,223",F,20112,7.6,0,"1,659",BANCO DE DADOS I,60,APROVADO
"182,430",M,20161,null,null,"7,170",JUNG E O SIMBOLISMO RELIGIOSOBAC,45,TRANCADO
"150,794",M,20141,0,0,"7,036",CALCULO DIF  E INTEGRAL III,60,REP. FALTA
"267,294",M,20151,null,0,"4,250",CALCULO VET GEO ANALITICA,60,EXCLUIDA
"177,526",M,20121,7.2,0,"4,250",CALCULO VET GEO ANALITICA,60,APROVADO
"186,611",M,20151,0,60,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"258,663",M,20151,9,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,APROVADO
"189,783",M,20162,null,null,954,ADM DE EMPRESAS,75,MATRICULADO
"150,792",M,20122,7,0,"7,215",ELETRICE CIRCUITOS PARA COMPUTAÇÃO,90,APROVADO
"173,217",M,20132,null,0,951,ADM SIST DE INFORMACOES,60,EXCLUIDA
"190,491",M,20162,null,null,"21,882",TRABALHO DE CONCLUSÃO DE CURSO I,30,MATRICULADO
"268,618",M,20151,6.9,0,"7,036",CALCULO DIF  E INTEGRAL III,60,DISPENSADO
"177,952",M,20131,2.5,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,REPROVADO
"150,379",M,20112,0,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REP. FALTA
"114,212",M,20102,9.1,0,"4,374",LINGUA INGLESA II,75,DISPENSADO
"123,995",M,20131,0,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,REP. FALTA
"107,136",M,20091,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"114,214",M,20092,7.3,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,APROVADO
"154,546",M,20122,8.2,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"154,543",M,20122,3.6,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"260,646",M,20151,5.1,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"192,202",M,20132,7,0,"7,229",INTROD À MATEMÁTICA COMPUTACINAL,30,APROVADO
"258,200",M,20162,null,0,"1,641",SERIES E EQUACOES DIF ORDINARIAS,60,MATRICULADO
"187,798",M,20132,5,0,"3,818",INTRODUCAO AO COMPUTADOR,60,APROVADO
